	9.1	9.2	8	7	6	5	4	P	3	2	1	N
MA-28-I98C	0.0	0.0	0.0	35.0	0.0	2.0	1.0	1.0	1.0	8.0	1.0	0.0
MAT-CR-H6-H10	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
ML635J-40 aquatic group	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
MSB-3C8	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	0.0
MSBL8	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
MWH-CFBk5	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0
Magnetococcaceae	1.0	0.0	2.0	6.0	0.0	1.0	0.0	0.0	1.0	2.0	2.0	0.0
Magnetospiraceae	0.0	0.0	0.0	20.0	0.0	4.0	2.0	0.0	1.0	4.0	0.0	0.0
Magnetospirillaceae	0.0	0.0	4.0	210.0	0.0	5.0	13.0	0.0	10.0	21.0	10.0	0.0
Marinifilaceae	0.0	0.0	5.0	9.0	0.0	6.0	4.0	0.0	7.0	11.0	7.0	0.0
Marinilabiliaceae	0.0	0.0	2.0	5.0	0.0	11.0	6.0	0.0	6.0	1.0	11.0	0.0
Marinobacteraceae	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Marinomonadaceae	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Methylococcaceae	0.0	0.0	2.0	29.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0
Methyloligellaceae	1.0	1.0	65.0	731.0	1.0	12.0	45.0	0.0	19.0	318.0	14.0	0.0
Methylomirabilaceae	4.0	0.0	23.0	34.0	0.0	6.0	6.0	0.0	5.0	40.0	9.0	0.0
Methylomonaceae	0.0	0.0	7.0	16.0	0.0	1.0	9.0	0.0	1.0	11.0	0.0	0.0
